Date,Close,Volume,RangeRatio,VolMedian20,RangeMedian20,VolRatio,RangeRatioToMed,PctMove,HighProximity,LowProximity,Trend,D1,D2,D3,IsDull,Fwd1d,Fwd3d,Fwd5d,Fwd10d
2021-12-14,31.69,4398563,0.0086778,3.31544E+06,0.00864893,1.32669,1.00334,-0.00126061,0.957981,1.01538,Decline,0,0,1,0,0.00568003,0.00252445,0.0116756,0.0302935
2021-12-15,31.87,4664224,0.0119234,3.59123E+06,0.0087691,1.29878,1.35971,0.00568003,0.964005,1.02115,Flat,0,0,0,0,-0.00125513,-0.0119235,0.0128647,0.0203953
2021-12-16,31.83,3808566,0.013038,4.13195E+06,0.00909582,0.921735,1.43341,-0.00125513,0.962795,1.01987,Decline,0,0,1,0,-0.001885,0.00722593,0.0216777,0.022306
2021-12-17,31.77,4271205,0.0125905,4.13195E+06,0.0101534,1.0337,1.24002,-0.001885,0.964774,1.01794,Decline,0,0,1,0,-0.00881337,0.0160528,0.0242367,0.0163677
2021-12-20,31.49,3789924,0.0085741,4.33488E+06,0.0110031,0.874285,0.779246,-0.00881337,0.956271,1.00897,Decline,0,0,0,0,0.018101,0.0327088,0.0393776,0.0276278
2021-12-21,32.06,2176592,0.0106051,4.33488E+06,0.0110031,0.502111,0.963827,0.018101,0.97358,1.02723,Flat,1,0,0,0,0.00686205,0.0149719,0.018403,0.010917
2021-12-22,32.28,3330956,0.00929372,4.33488E+06,0.0110031,0.768407,0.844647,0.00686205,0.980261,1.03428,Advance,0,0,0,0,0.007435,0.0139405,0.007435,0.00433703
2021-12-23,32.52,2086211,0.00768758,4.33488E+06,0.0108178,0.481261,0.710642,0.007435,0.987549,1.04197,Advance,1,0,0,0,0.00061502,0.00399757,0.00061502,0.00615008
2021-12-24,32.54,725015,0.00261214,4.06827E+06,0.0108178,0.178212,0.241467,0.00061502,1.00062,1.04261,Advance,1,1,1,1,0.00583893,-0.000614642,-0.00768285,0.0107559
2021-12-29,32.73,2184102,0.00549955,3.83695E+06,0.0108178,0.569228,0.50838,0.00583893,1.00584,1.0487,Advance,1,1,0,0,-0.00244418,-0.00580503,-0.0113046,0.000611074
2021-12-30,32.65,1967051,0.0070444,3.79924E+06,0.00994939,0.517748,0.708023,-0.00244418,0.997556,1.04614,Advance,1,0,1,0,-0.00398166,-0.0110261,-0.00735074,0.0070444
2021-12-31,32.52,2113487,0.00584263,3.56044E+06,0.00898576,0.593603,0.65021,-0.00398166,0.993584,1.04197,Advance,1,0,0,0,0.00061502,-0.00492004,-0.0030751,0.0193727
2022-01-04,32.54,3473424,0.0138292,3.32404E+06,0.00862595,1.04494,1.6032,0.00061502,0.994195,1.03334,Advance,0,0,1,0,-0.00768285,-0.00399512,0.00553166,0.00676083
2022-01-05,32.29,3910735,0.012078,3.32404E+06,0.00862595,1.1765,1.4002,-0.00768285,0.986557,1.0254,Advance,0,0,0,0,0.00216784,0.00402593,0.0185816,0.00960042
2022-01-06,32.36,4157228,0.0097342,3.32404E+06,0.00862595,1.25066,1.12848,0.00216784,0.988695,1.02763,Advance,0,0,1,0,0.00154509,0.0111249,0.0120519,0.000927033
2022-01-07,32.41,2716097,0.00771367,3.32404E+06,0.00862595,0.817108,0.894239,0.00154509,0.990223,1.02922,Advance,0,0,1,0,0.000308495,0.0148102,0.0145017,-0.0219068
2022-01-10,32.42,2692465,0.0138803,3.02353E+06,0.00862595,0.890505,1.60914,0.000308495,0.990529,1.02953,Advance,0,0,1,0,0.00925364,0.010179,0.0225171,-0.0243676
2022-01-11,32.72,2874475,0.0126834,3.02353E+06,0.00898576,0.950703,1.4115,0.00925364,0.999695,1.03906,Advance,0,0,0,0,0.00519554,0.00488997,0.00122241,-0.0314792
2022-01-12,32.89,2223607,0.00760109,3.10272E+06,0.00951396,0.716665,0.798941,0.00519554,1.00489,1.04446,Advance,0,0,0,0,-0.00425659,0.0079052,-0.0088173,-0.0358772
2022-01-13,32.75,2250046,0.0091604,3.10272E+06,0.00951396,0.725186,0.962838,-0.00425659,0.995743,1.04001,Advance,0,0,0,0,0.0039695,0.000305292,-0.0109924,-0.0332824
2022-01-14,32.88,2781009,0.0106448,2.79529E+06,0.00922706,0.994892,1.15365,0.0039695,0.999696,1.04414,Advance,0,0,0,0,0.00821169,-0.00851589,-0.0358881,-0.0291971
2022-01-17,33.15,1325537,0.0078432,2.74855E+06,0.00951396,0.482267,0.824389,0.00821169,1.00791,1.05272,Advance,1,0,0,0,-0.0117648,-0.0229262,-0.0458523,-0.0214179
2022-01-18,32.76,4531969,0.00885229,2.70428E+06,0.00922706,1.67585,0.959384,-0.0117648,0.988235,1.04033,Advance,0,0,0,0,-0.004884,-0.0323565,-0.0326617,0.000305316
2022-01-19,32.6,5967530,0.00981594,2.70428E+06,0.00900634,2.2067,1.08989,-0.004884,0.983409,1.03525,Advance,0,0,0,0,-0.00644169,-0.0297546,-0.0273006,0.00920255
2022-01-20,32.39,4127525,0.0148195,2.70428E+06,0.00900634,1.52629,1.64545,-0.00644169,0.977074,1.02858,Flat,0,0,0,0,-0.0213028,-0.0216116,-0.0225378,0.00216115
2022-01-21,31.7,8513936,0.0211357,2.70428E+06,0.00922706,3.14832,2.29062,-0.0213028,0.956259,0.988771,Decline,0,0,0,0,-0.00220825,0.000315404,0.00694004,0.0334384
2022-01-24,31.63,15680770,0.0320898,2.74855E+06,0.00922706,5.7051,3.47779,-0.00220825,0.954148,0.997792,Decline,0,0,1,0,0.00189698,0.000948488,0.0256086,0.0331964
2022-01-25,31.69,7497180,0.0299779,2.74855E+06,0.0094473,2.72768,3.17318,0.00189698,0.955958,1.0019,Decline,0,0,1,0,0.000631068,0.0072578,0.0340801,0.0378668
2022-01-26,31.71,10550207,0.0208136,2.82774E+06,0.00977507,3.73097,2.12926,0.000631068,0.956561,1.00253,Decline,0,0,1,0,-0.00157677,0.0230211,0.0375277,0.0473037
2022-01-27,31.66,6082622,0.0164245,3.17395E+06,0.0102304,1.91642,1.60546,-0.00157677,0.955053,1.00095,Decline,0,0,1,0,0.00821226,0.03506,0.0252685,0.0454832
2022-01-28,31.92,5209990,0.0153509,3.69208E+06,0.0113614,1.41113,1.35114,0.00821226,0.962896,1.00917,Decline,0,0,0,0,0.0162907,0.0307018,0.0263157,0.0372807
2022-01-31,32.44,5622767,0.0198828,4.01913E+06,0.0123807,1.399,1.60595,0.0162907,0.978582,1.02561,Flat,0,0,0,0,0.0101727,0.000616537,0.00739833,0.011714
2022-02-01,32.77,3199824,0.0112909,4.14238E+06,0.0132563,0.772461,0.85174,0.0101727,0.988537,1.03604,Advance,0,0,0,0,0.00396708,-0.000305222,0.00366185,0.00823926
2022-02-02,32.9,4279373,0.00607905,4.14238E+06,0.0123807,1.03307,0.49101,0.00396708,0.992459,1.04015,Advance,0,1,0,0,-0.0133739,-0.00668697,0.00942242,-0.00243167
2022-02-03,32.46,4342883,0.00739365,4.2183E+06,0.0119872,1.02953,0.616798,-0.0133739,0.979185,1.02624,Flat,0,0,0,0,0.00924212,0.0132471,0.0197166,0.000616157
2022-02-04,32.76,3163431,0.009768,4.31113E+06,0.0119872,0.733783,0.814873,0.00924212,0.988235,1.03573,Advance,0,0,0,0,-0.00244194,0.0137363,0.0106838,-0.014652
2022-02-07,32.68,3950593,0.00810892,4.31113E+06,0.0119872,0.916371,0.676467,-0.00244194,0.985822,1.0332,Advance,0,0,1,0,0.00642592,0.0128518,0.00428395,-0.0229498
2022-02-08,32.89,2477410,0.0085133,4.31113E+06,0.0109679,0.574655,0.776204,0.00642592,0.992157,1.03984,Advance,1,0,0,0,0.00972939,0.006689,0.0045607,-0.0377014
2022-02-09,33.21,2384135,0.00542006,4.31113E+06,0.0102304,0.553019,0.5298,0.00972939,1.00181,1.04995,Advance,1,1,0,0,-0.00331227,-0.0117434,-0.0117434,-0.0460704
2022-02-10,33.1,4206823,0.013293,4.31113E+06,0.0102304,0.975806,1.29936,-0.00331227,0.996688,1.04647,Advance,0,0,0,0,0.000302179,-0.00181262,-0.0187311,-0.0259818
2022-02-11,33.11,5752001,0.0108729,4.31113E+06,0.0109679,1.33422,0.991338,0.000302179,0.996989,1.04679,Advance,0,0,1,0,-0.00875871,-0.00875871,-0.025068,-0.0271822
2022-02-14,32.82,5184653,0.0112736,4.43743E+06,0.0110819,1.16839,1.0173,-0.00875871,0.988257,1.03762,Advance,0,0,0,0,0.00670327,-0.0103595,-0.0271176,-0.0258989
2022-02-15,33.04,2256927,0.00544795,4.85831E+06,0.0112822,0.46455,0.482878,0.00670327,0.994881,1.04458,Advance,1,1,0,0,-0.00665863,-0.0230025,-0.0420703,-0.0190678
2022-02-16,32.82,3266818,0.00594149,4.76377E+06,0.0112822,0.685763,0.526623,-0.00665863,0.988257,1.03762,Advance,1,1,0,0,-0.0103595,-0.0271176,-0.0347349,-0.0106642
2022-02-17,32.48,3881628,0.0110838,4.31113E+06,0.0112822,0.900374,0.982408,-0.0103595,0.978019,1.02687,Flat,0,0,0,0,-0.00615766,-0.0255542,-0.0073891,0.00800499
2022-02-18,32.28,4492566,0.00929366,4.31113E+06,0.0111787,1.04209,0.831374,-0.00615766,0.971996,1.02055,Flat,0,0,0,0,-0.0108426,-0.0185873,-0.00216852,0.0102231
2022-02-22,31.93,6561559,0.0140933,4.31113E+06,0.0109783,1.52201,1.28374,-0.0108426,0.961457,1.00948,Decline,0,0,0,0,-0.0087692,0.00970878,0.00125271,0.0150329
2022-02-23,31.65,2827085,0.0129542,4.31113E+06,0.0109783,0.655765,1.17998,-0.0087692,0.953026,0.999684,Decline,1,0,0,0,0.000947889,0.0176935,0.0240126,0.0372829
2022-02-24,31.68,6125177,0.0209911,4.2431E+06,0.0109783,1.44356,1.91205,0.000947889,0.95393,1.00095,Decline,0,0,1,0,0.0176768,0.00915401,0.0249369,0.0397727
2022-02-25,32.24,3547305,0.0169045,4.2431E+06,0.0109783,0.836018,1.53981,0.0176768,0.970792,1.01864,Decline,0,0,0,0,-0.000930602,0.0052729,0.0155087,0.0167493
2022-02-28,32.21,3783384,0.00962438,4.07871E+06,0.0109783,0.927594,0.876672,-0.000930602,0.969889,1.01769,Decline,0,0,1,0,-0.0074511,0.00807209,0.0124186,0.00807209
2022-03-01,31.97,3550748,0.0150141,3.91611E+06,0.0103204,0.906703,1.4548,-0.0074511,0.962662,1.01011,Decline,0,0,0,0,0.0137629,0.0240852,0.0137629,0.0150141
2022-03-02,32.41,4119829,0.0114162,3.83251E+06,0.0103204,1.07497,1.10617,0.0137629,0.975911,1.02401,Flat,0,0,0,0,0.00185132,0.00617096,0.012959,0.013576
2022-03-03,32.47,2747590,0.0067754,3.91611E+06,0.0103204,0.701612,0.656504,0.00185132,0.977718,1.02591,Flat,0,0,1,0,0.00831538,-0.0018479,0.0144748,0.0252541
2022-03-04,32.74,4658471,0.0149665,3.83251E+06,0.0103204,1.21552,1.45018,0.00831538,0.985848,1.03444,Advance,0,0,0,0,-0.00397071,0.00274894,0.00122166,0.0192424
2022-03-07,32.61,3902061,0.013186,3.83251E+06,0.0109783,1.01815,1.2011,-0.00397071,0.981933,1.03033,Advance,0,0,0,0,-0.00613311,0.0101195,-0.00429314,0.0321987
2022-03-08,32.41,6030912,0.0138846,3.89184E+06,0.0111787,1.54963,1.24206,-0.00613311,0.975911,1.02401,Flat,0,0,0,0,0.012959,0.0114162,0.00123422,0.0416538
2022-03-09,32.83,6488003,0.0149253,3.89184E+06,0.0113449,1.66708,1.3156,0.012959,0.988558,1.03728,Advance,0,0,0,0,0.0033505,-0.0109656,0.000609097,0.0191897
2022-03-10,32.94,4733413,0.010929,4.01094E+06,0.0121852,1.18012,0.896907,0.0033505,0.99187,1.04076,Advance,0,0,0,0,-0.00485731,-0.0148755,0.0106254,0.0170006
2022-03-11,32.78,3348049,0.00823674,4.16333E+06,0.0121852,0.804177,0.675964,-0.00485731,0.990033,1.0357,Advance,0,0,0,0,-0.00945691,0.00213544,0.0179988,0.0259305
2022-03-14,32.47,3292691,0.012627,4.01094E+06,0.0113449,0.820926,1.11302,-0.00945691,0.980671,1.02591,Advance,0,0,0,0,-0.000615967,0.0252541,0.0366492,0.0357253
2022-03-15,32.45,2468634,0.0106318,3.89184E+06,0.0120216,0.63431,0.884388,-0.000615967,0.982143,1.02528,Advance,1,0,1,0,0.0123266,0.0283513,0.0403697,0.0397535
2022-03-16,32.85,5962742,0.0133943,3.83251E+06,0.0120216,1.55583,1.11418,0.0123266,0.994249,1.03791,Advance,0,0,0,0,0.0133943,0.0246576,0.0185693,0.0267885
2022-03-17,33.29,2840016,0.0132173,3.89184E+06,0.0127906,0.729735,1.03336,0.0133943,1.01063,1.05182,Advance,0,0,0,0,0.00240306,0.0141183,0.00630817,0.00570738
2022-03-18,33.37,3271997,0.00869035,3.89184E+06,0.0130701,0.840732,0.664903,0.00240306,1.0024,1.05434,Advance,0,0,1,0,0.00869047,0.00269704,0.00779149,0.00509446
2022-03-21,33.66,2697867,0.00653587,3.84272E+06,0.0130701,0.702072,0.500063,0.00869047,1.00869,1.06351,Advance,0,1,0,0,0.00297084,-0.00475341,-0.000891229,0.00386218
2022-03-22,33.76,2383697,0.00503549,3.66707E+06,0.0130701,0.650028,0.385268,0.00297084,1.00297,1.06667,Advance,1,1,0,0,-0.00888623,-0.00385063,-0.000592318,-0.00385063
2022-03-23,33.46,2263667,0.00896591,3.54903E+06,0.0127906,0.637828,0.700976,-0.00888623,0.991114,1.05719,Advance,1,0,0,0,0.00119548,0.00508075,0.00806935,-0.00119548
2022-03-24,33.5,2406754,0.00686566,3.54903E+06,0.0120216,0.678145,0.571109,0.00119548,0.992299,1.05745,Advance,1,1,1,1,0.00388063,0.00716423,-0.000597029,-0.000895486
2022-03-25,33.63,2068654,0.00535237,3.44768E+06,0.0111726,0.600014,0.479063,0.00388063,0.996149,1.05192,Advance,1,1,0,0,0,0.00297349,-0.00267619,-0.00356832
2022-03-28,33.63,2550002,0.00564979,3.32037E+06,0.0107804,0.767987,0.524081,0,0.996149,1.05192,Advance,0,1,1,0,0.00327091,-0.00446035,0.00475765,-0.00624451
2022-03-29,33.74,3582886,0.00800238,3.28234E+06,0.0107804,1.09156,0.74231,0.00327091,0.999408,1.05536,Advance,0,0,0,0,-0.000296447,-0.0059277,-0.00326024,-0.0136338
2022-03-30,33.73,2346775,0.00444713,3.28234E+06,0.00979884,0.714969,0.453842,-0.000296447,0.999111,1.04073,Advance,0,1,1,0,-0.0074118,0.00177887,-0.00919067,-0.0103765
2022-03-31,33.48,3308572,0.0128435,3.05601E+06,0.00882813,1.08265,1.45484,-0.0074118,0.991706,1.03301,Advance,0,0,0,0,0.00179216,0.00448033,-0.000298636,-0.00149341
2022-04-01,33.54,4049767,0.00954084,3.28234E+06,0.00979884,1.2338,0.97367,0.00179216,0.993483,1.03487,Advance,0,0,1,0,0.00745379,-0.0035779,-0.000894532,-0.00327968
2022-04-04,33.79,3619716,0.00799054,3.28234E+06,0.00925337,1.10278,0.863528,0.00745379,1.00089,1.04258,Advance,0,0,0,0,-0.00473512,-0.00947025,-0.0109501,-0.00295952
2022-04-05,33.63,3791427,0.0124888,3.28234E+06,0.00882813,1.1551,1.41466,-0.00473512,0.995265,1.03764,Advance,0,0,0,0,-0.00624451,-0.00356832,-0.0104074,-0.000297417
2022-04-06,33.42,2789495,0.00807901,3.28234E+06,0.00882813,0.849848,0.915144,-0.00624451,0.98905,1.02989,Advance,0,0,0,0,0.0014962,0,-0.0011968,-0.00837818
2022-04-07,33.47,2434287,0.00971021,3.05601E+06,0.00846355,0.796558,1.1473,0.0014962,0.99053,1.03143,Advance,0,0,1,0,0.00119501,-0.0056768,-0.00119513,-0.0295788
